wii	In representations of various accents: with.
dinosaur rolls	a fossil reptile of the Mesozoic era, in many species reaching an enormous size. a person or thing that is outdated or has become obsolete because of failure to adapt to changing circumstances. [SEP] a luxury car produced by the British Rolls-Royce company. a product that is the most luxurious or highly specified of its kind
Gnocchi	(in Italian cooking) small dumplings made from potato, semolina, or flour, usually served with a sauce.
Boot time	a sturdy item of footwear covering the foot and ankle, and sometimes also the lower leg. a hard kick an enclosed space at the back of a car for carrying luggage or other goods. the process of starting a computer and putting it into a state of readiness for operation [SEP] the indefinite continued progress of existence and events in the past, present, and future regarded as a whole a point of time as measured in hours and minutes past midnight or noon time as allotted, available, or used an instance of something happening or being done; an occasion (following a number) expressing multiplication
tech support	technology. an educational institution specializing in technology or applied sciences; a technical college. [SEP] bear all or part of the weight of; hold up give assistance to, especially financially suggest the truth of; corroborate (of a computer or operating system) allow the use or operation of (a program, language, or device) endure; tolerate
Set up	put, lay, or stand (something) in a specified place or position put or bring into a specified state adjust (a clock or watch), typically to show the right time harden into a solid or semi-solid state (of the sun, moon, or another celestial body) appear to move towards and below the earth's horizon as the earth rotates (of a tide or current) take or have a specified direction or course start (a fire) (of blossom or a tree) form into or produce (fruit) sit [SEP] towards a higher place or position at or to a higher level of intensity, volume, or activity to the place where someone is towards or i
Windows 8	a GUI operating system for personal computers.
click pads	a short, sharp sound as of a switch being operated or of two hard objects coming smartly into contact an act of selecting an option on an electronic interface by pressing a button or touching a screen [SEP] a thick piece of soft material, typically used to protect or shape something, or to absorb liquid the fleshy underpart of an animal's foot or of a human finger a number of sheets of blank paper fastened together at one edge, used for writing or drawing a flat-topped structure or area used for helicopter take-off and landing or for rocket-launching a person's home a flat area on a track of a
installation disk (DVD)	the action of installing someone or something, or the state of being installed a large piece of equipment installed for use [SEP] a type of compact disc able to store large amounts of data, especially high-resolution audiovisual material.
Works	denoting or relating to goods sold direct from the factory or place of manufacture
features	a distinctive attribute or aspect of something a newspaper or magazine article or a broadcast programme devoted to the treatment of a particular topic, typically at length
log on	a part of the trunk or a large branch of a tree that has fallen or been cut off an official record of events during the voyage of a ship or aircraft an apparatus for determining the speed of a ship, originally one consisting of a float attached to a knotted line that is wound on a reel, the distance run out in a certain time being used as an estimate of the vessel's speed. the Ranfurly Shield, an interprovincial rugby union trophy competed for annually in New Zealand [SEP] Ontario (in official postal use).
delete key	remove or obliterate (written or printed matter), especially by drawing a line through it [SEP] a small piece of shaped metal with incisions cut to fit the wards of a particular lock, which is inserted into a lock and turned to open or close it each of several buttons on a panel for operating a computer, typewriter, or telephone a thing that provides a means of achieving or understanding something a group of notes based on a particular note and comprising a scale, regarded as forming the tonal basis of a piece of music the dry winged fruit of an ash, maple, or sycamore, typically growing in bu
interneting	a global computer network providing a variety of information and communication facilities, consisting of interconnected networks using standardized communication protocols
priced	costing a great deal; expensive
works	denoting or relating to goods sold direct from the factory or place of manufacture
track pad	a rough path or road, typically one beaten by use rather than constructed a mark or line of marks left by a person, animal, or vehicle in passing a continuous line of rails on a railway a recording of one song or piece of music a continuous articulated metal band around the wheels of a heavy vehicle such as a tank, intended to facilitate movement over rough or soft ground. the transverse distance between a vehicle's wheels a group in which schoolchildren of the same age and ability are taught. [SEP] a thick piece of soft material, typically used to protect or shape something, or to absorb liqu
graphics	the products of the graphic arts, especially commercial design or illustration. the use of diagrams in calculation and design. visual images produced by computer processing.
mountain lion	a large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill a large pile or quantity of something [SEP] a large tawny-coloured cat that lives in prides, found in Africa and north-western India. The male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females. a member of a touring international rugby union team representing the British Isles. a member of a Lions Club.
build	construct (something) by putting parts or material together make stronger or more intense
baterry	a spiny shrub which typically has yellow flowers and red berries, frequently grown for ornamental hedging.
USB ports	universal serial bus, a standardized technology for attaching peripheral devices to a computer. [SEP] a group of medieval ports in Kent and East Sussex in south-eastern England, which were formerly allowed trading privileges in exchange for providing the bulk of England's navy. The five original Cinque Ports were Hastings, Sandwich, Dover, Romney, and Hythe; later Rye and Winchelsea were added.
Hardware performance	tools, machinery, and other durable equipment the machines, wiring, and other physical components of a computer or other electronic system [SEP] an act of presenting a play, concert, or other form of entertainment the action or process of performing a task or function
Keyboard	a panel of keys that operate a computer or typewriter. a set of keys on a piano or similar musical instrument.
setup	the way in which something, especially an organization or equipment, is organized, planned, or arranged a scheme or trick intended to incriminate or deceive someone (in a ball game) a pass or play intended to provide an opportunity for another player to score.
usb ports	universal serial bus, a standardized technology for attaching peripheral devices to a computer. [SEP] a group of medieval ports in Kent and East Sussex in south-eastern England, which were formerly allowed trading privileges in exchange for providing the bulk of England's navy. The five original Cinque Ports were Hastings, Sandwich, Dover, Romney, and Hythe; later Rye and Winchelsea were added.
Performance	an act of presenting a play, concert, or other form of entertainment the action or process of performing a task or function
OS	a bone (used chiefly in Latin names of individual bones, e.g. os trapezium).
portability	the ability to be easily carried or moved
portable computing	able to be easily carried or moved, especially because being of a lighter and smaller version than usual [SEP] the use or operation of computers
MS Office 2011 for Mac	a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work a position of authority or service, typically one of a public nature a service done for another or others the series of services of prayers and psalms said (or chanted) daily by Catholic priests, members of religious orders, and other clergy. the parts of a house given over to household work or to storage. [SEP] in support of or in favour of (a person or policy) affecting, with regard to, or in respect of on behalf of or to the benefit of having (the thing mentioned) as a purpose or function ha
lit up keys	towards a higher place or position at or to a higher level of intensity, volume, or activity to the place where someone is towards or in the capital or a major city into the desired or a proper condition into a happy mood out of bed displayed on a noticeboard or other publicly visible site (of sailing) against the current or the wind at bat [SEP] House keys, especially those for various rooms or cupboards used for domestic purposes, traditionally in the charge of the female head of a household employing servants.
Mountain Lion OS	a large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill a large pile or quantity of something [SEP] a large tawny-coloured cat that lives in prides, found in Africa and north-western India. The male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females. a member of a touring international rugby union team representing the British Isles. a member of a Lions Club.
OSX	not found
Microsoft Office	a fragment of endoplasmic reticulum and attached ribosomes obtained by the centrifugation of homogenized cells.
Built-in apps	forming an integral part of a structure
brightness	the quality or state of giving out or reflecting light the quality of being intelligent and quick-witted the quality of being cheerful or lively the quality in sound of being clear, vibrant, and typically high-pitched
applications	= application programmer.
i5 processor	a machine that processes something
built in features	expressing the situation of something that is or appears to be enclosed or surrounded by something else expressing a period of time during which an event happens or a situation remains the case expressing the length of time before a future event is expected to happen (often followed by a noun without a determiner) expressing a state or condition expressing inclusion or involvement indicating someone's occupation or profession indicating the language or medium used as an integral part of (an activity) expressing a value as a proportion of (a whole) [SEP] a distinctive attribute or aspect of som
SSD	a storage device containing non-volatile flash memory, used in place of a hard disk because of its much greater speed
Web browsing	a network of fine threads constructed by a spider from fluid secreted by its spinnerets, used to catch its prey. a complex system of interconnected elements a membrane between the toes of a swimming bird or other aquatic animal. a roll of paper used in a continuous printing process. a piece of woven fabric. [SEP] A record of the information browsed by a user on a computer; especially (in a web browser) a record of recently visited web pages, stored with associated data.
lighted screen	provided with light or lighting; illuminated having been ignited; burning [SEP] a fixed or movable upright partition used to divide a room, give shelter from draughts, heat, or light, or to provide concealment or privacy a flat panel or area on an electronic device such as a television, computer, or smartphone, on which images and data are displayed a transparent finely ruled plate or film used in half-tone reproduction. a system of checking a person or thing for the presence or absence of something, typically a disease a detachment of troops or ships detailed to cover the movements of the mai
USB3 Peripherals	universal serial bus, a standardized technology for attaching peripheral devices to a computer. [SEP] relating to or situated on the edge or periphery of something (of a device) able to be attached to and used with a computer, though not an integral part of it
media editing	alteration of the genetic material of a living organism by inserting, replacing, or deleting a DNA sequence, typically with the aim of improving some characteristic of a crop or farm animal or correcting a genetic disorder
Mac OS	a type of personal computer. [SEP] a bone (used chiefly in Latin names of individual bones, e.g. os trapezium).
Appleworks	the timber of the apple tree.
loading the internet	the application of a mechanical load or force to something the application of an extra amount of something to balance some other factor. [SEP] denoting one or more people or things already mentioned or assumed to be common knowledge. used to point forward to a following qualifying or defining clause or phrase used to make a generalized reference to something rather than identifying a particular instance enough of (a particular thing) (pronounced stressing ‘the’) used to indicate that someone or something is the best known or most important of that name or type used adverbially with comparative
looking	having a specified appearance
XP	experience point or experience points
construction	the action of building something, typically a large structure the creation of an abstract entity
unibody construction	a single moulded unit forming both the bodywork and chassis of a vehicle [SEP] the action of building something, typically a large structure the creation of an abstract entity
disk drive	operate and control the direction and speed of a motor vehicle propel or carry along by force in a specified direction urge or force (animals or people) to move in a specified direction (of a source of power) provide the energy to set and keep (an engine or piece of machinery) in motion (of a fact or feeling) compel (someone) to act in a particular way, especially one that is considered undesirable or inappropriate (in ball games) hit or kick (the ball) hard with a free swing of the bat, racket, or foot
HDMI receptacle	a standard for connecting high-definition video devices [SEP] a hollow object used to contain something an electrical socket. an organ or structure which receives a secretion, eggs, sperm, etc. an enlarged area at the apex of a stem on which the parts of a flower or the florets of a flower head are inserted.
design app	a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made a decorative pattern purpose or planning that exists behind an action, fact, or object [SEP] an application, especially as downloaded by a user to a mobile device an application or application form
TRACKPAD	not found
looks	With plural agreement. Attractive or beautiful appearance, especially of the face, in a person; personal beauty.
configuration	not found
speakers	not found
Web surfuring	a network of fine threads constructed by a spider from fluid secreted by its spinnerets, used to catch its prey. a complex system of interconnected elements a membrane between the toes of a swimming bird or other aquatic animal. a roll of paper used in a continuous printing process. a piece of woven fabric. [SEP] a low or indistinct continuous sound a subdued or private expression of discontent or dissatisfaction
interface	a point where two systems, subjects, organizations, etc. meet and interact a device or program enabling a user to communicate with a computer
hardware (keyboard)	tools, machinery, and other durable equipment the machines, wiring, and other physical components of a computer or other electronic system [SEP] a panel of keys that operate a computer or typewriter. a set of keys on a piano or similar musical instrument.
Runs	move at a speed faster than a walk, never having both or all the feet on the ground at the same time pass or cause to pass quickly in a particular direction (with reference to a liquid) flow or cause to flow extend or cause to extend in a particular direction (of a bus, train, ferry, or other form of transport) make a regular journey on a particular route be in charge of; manage be in or cause to be in operation; function or cause to function continue or be valid or operative for a particular period of time stand as a candidate in an election publish or be published in a newspaper or magazine 
footprint	the impression left by a foot or shoe on the ground or a surface. the area occupied or affected by something
exterior	forming, situated on, or relating to the outside of something
OSX Mountain Lion	Orbiting solar observatory. [SEP] a large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill a large pile or quantity of something [SEP] a large tawny-coloured cat that lives in prides, found in Africa and north-western India. The male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females. a member of a touring international rugby union team representing the British Isles. a member of a Lions Club.
wakes	emerge or cause to emerge from sleep; stop sleeping hold a vigil beside (someone who has died)
CUSTOMER SERVICE	a person who buys goods or services from a shop or business a person of a specified kind with whom one has to deal [SEP] the action of helping or doing work for someone assistance or advice given to customers during and after the sale of goods a piece of work done for a client or customer that does not involve manufacturing goods a system supplying a public need such as transport, communications, or utilities such as electricity and water a ceremony of religious worship according to a prescribed form a periodic routine inspection and maintenance of a vehicle or other machine a set of matching 
performed	carry out, accomplish, or fulfil (an action, task, or function) present (a form of entertainment) to an audience
battery cycle count	a container consisting of one or more cells, in which chemical energy is converted into electricity and used as a source of power a fortified emplacement for heavy guns a set of similar units of equipment, typically when connected together a series of small cages for the intensive rearing of farm animals, especially calves and poultry the infliction of unlawful personal violence on another person, even where the contact does no physical harm the pitcher and the catcher. [SEP] a series of events that are regularly repeated in the same order a complete set or series a bicycle or tricycle [SEP] d
finger swipes	each of the four slender jointed parts attached to either hand (or five, if the thumb is included) [SEP] hit or try to hit with a swinging blow pass (a swipe card) through an electronic device designed to read and process the information encoded on it. steal
storage	the action or method of storing something for future use
Shipped	a large boat for transporting people or goods by sea a spaceship. an aircraft.
thunderbolt port	a flash of lightning with a simultaneous crash of thunder. [SEP] a town or city with a harbour or access to navigable water where ships load or unload
streaming video	a method of transmitting or receiving data (especially video and audio material) over a computer network as a steady, continuous flow, allowing playback to start while the rest of the data is still being received. the practice of putting schoolchildren in groups of the same age and ability to be taught together [SEP] the recording, reproducing, or broadcasting of moving visual images a recording of moving visual images made digitally or on videotape
Mac office	a type of personal computer. [SEP] a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work a position of authority or service, typically one of a public nature a service done for another or others the series of services of prayers and psalms said (or chanted) daily by Catholic priests, members of religious orders, and other clergy. the parts of a house given over to household work or to storage.
Apple Tech Support	the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh. the tree bearing apples, with hard pale timber that is used in carpentry and to smoke food. [SEP] technology. an educational institution specializing in technology or applied sciences; a technical college. [SEP] bear all or part of the weight of; hold up give assistance to, especially financially suggest the truth of; corroborate (of a computer or operating system) allow the use or operation of (a program, language, or device) endure; tolerate
spec	not found
Office	a room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work a position of authority or service, typically one of a public nature a service done for another or others the series of services of prayers and psalms said (or chanted) daily by Catholic priests, members of religious orders, and other clergy. the parts of a house given over to household work or to storage.
MagSafe accessories	a wealthy and influential businessman or businesswoman [SEP] a thing which can be added to something else in order to make it more useful, versatile, or attractive someone who gives assistance to the perpetrator of a crime without taking part in it
Mac ecosystem	a type of personal computer. [SEP] a biological community of interacting organisms and their physical environment
slot	a long, narrow aperture or slit in a machine for something to be inserted an allotted place in an arrangement or scheme such as a broadcasting schedule
built-in camera	forming an integral part of a structure [SEP] a device for recording visual images in the form of photographs, film, or video signals
functionality	the quality of being suited to serve a purpose well; practicality the range of operations that can be run on a computer or other electronic system
Graphics	the products of the graphic arts, especially commercial design or illustration. the use of diagrams in calculation and design. visual images produced by computer processing.
Build Quality	construct (something) by putting parts or material together make stronger or more intense
Screen resolution	The degree of fine detail with which a television, computer monitor, etc., can display images, (now) usually measured by the area of the screen expressed in terms of the number of pixels it can display.
SquareTrade 3-Year Computer Accidental Protection Warranty	a stupid or inept person. a person of Germanic or Scandinavian origin. [SEP] the time taken by the earth to make one revolution around the sun. the period of 365 days (or 366 days in leap years) starting from the first of January, used for reckoning time in ordinary circumstances. one's age or time of life a very long time; ages a set of students grouped together as being of roughly similar ages, mostly entering a school or college in the same academic year [SEP] an electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable 
transport	take or carry (people or goods) from one place to another by means of a vehicle, aircraft, or ship overwhelm (someone) with a strong emotion, especially joy
Windows 8 Set-Up	a GUI operating system for personal computers. [SEP] the way in which something, especially an organization or equipment, is organized, planned, or arranged a scheme or trick intended to incriminate or deceive someone (in a ball game) a pass or play intended to provide an opportunity for another player to score.
design	a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made a decorative pattern purpose or planning that exists behind an action, fact, or object
aluminum body	= aluminium sulphate. [SEP] the physical structure, including the bones, flesh, and organs, of a person or an animal the main section of a motor vehicle or aircraft the main or central part of something, especially a building or text a large amount or collection of something a material object a full or substantial quality of flavour in wine a woman's close-fitting stretch garment for the upper body, fastening at the crotch. (in pottery) a clay used for making the main part of ceramic ware, as distinct from a glaze.
integrate bluetooth devices	combine (one thing) with another to form a whole bring (people or groups with particular characteristics or needs) into equal participation in or membership of a social group or institution find the integral of [SEP] a standard for the short-range wireless interconnection of mobile phones, computers, and other electronic devices. [SEP] a thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment a plan, method, or trick with a particular aim a drawing or design
Intel4000 graphic chip	relating to visual art, especially involving drawing, engraving, or lettering giving clear and vividly explicit details of or in the form of a graph. of or denoting rocks having a surface texture resembling cuneiform writing. [SEP] a small piece of something removed in the course of chopping, cutting, or breaking a hard material such as wood or stone a long rectangular piece of deep-fried potato. a tiny wafer of semiconducting material used to make an integrated circuit; a microchip. a counter used in certain gambling games to represent money (in soccer, golf, and other sports) a short lofted 
DVD drive Firewire port	a type of compact disc able to store large amounts of data, especially high-resolution audiovisual material. [SEP] operate and control the direction and speed of a motor vehicle propel or carry along by force in a specified direction urge or force (animals or people) to move in a specified direction (of a source of power) provide the energy to set and keep (an engine or piece of machinery) in motion (of a fact or feeling) compel (someone) to act in a particular way, especially one that is considered undesirable or inappropriate (in ball games) hit or kick (the ball) hard with a free swing of t
durability	the ability to withstand wear, pressure, or damage
designed	planned or conceived in detail or for a specific purpose
specs	a pair of spectacles.
product quality	an article or substance that is manufactured or refined for sale a thing or person that is the result of an action or process a quantity obtained by multiplying quantities together, or from an analogous algebraic operation. [SEP] the standard of something as measured against other things of a similar kind; the degree of excellence of something a distinctive attribute or characteristic possessed by someone or something
Startup times	An internet business that is in the process of starting up. [SEP] multiply (a number)
colors	the appearance of something with regard to colour the pervading character or tone of something
customer service	the assistance and advice provided by a company to those people who buy or use its products or services.
windows 8	a GUI operating system for personal computers.
Win8	the perceptible natural movement of the air, especially in the form of a current of air blowing from a particular direction breath as needed in physical exertion, speech, etc., or the power of breathing without difficulty in such situations air swallowed while eating or gas generated in the stomach and intestines by digestion. wind instruments, or specifically woodwind instruments, forming a band or a section of an orchestra
mobility	the ability to move or be moved freely and easily
USB3	universal serial bus, a standardized technology for attaching peripheral devices to a computer.
sound	vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear sound produced by continuous and regular vibrations, as opposed to noise. music, speech, and sound effects when recorded and used to accompany a film, video, or broadcast an idea or impression conveyed by words
settings	not found
form factor	a mathematical factor which compensates for irregularity in the shape of an object, usually the ratio between its volume and that of a regular object of the same breadth and height. the physical size and shape of a piece of computer hardware.
touchpad	a computer input device in the form of a small panel containing different touch-sensitive areas.
Mavericks	an unorthodox or independent-minded person an unbranded calf or yearling.
i5	not found
Starts up	The action of to start up; in later use frequently attributive.
aluminum	= aluminium sulphate.
built in virus control	expressing the situation of something that is or appears to be enclosed or surrounded by something else expressing a period of time during which an event happens or a situation remains the case expressing the length of time before a future event is expected to happen (often followed by a noun without a determiner) expressing a state or condition expressing inclusion or involvement indicating someone's occupation or profession indicating the language or medium used as an integral part of (an activity) expressing a value as a proportion of (a whole) [SEP] an infective agent that typically consis
retina display	a layer at the back of the eyeball that contains cells sensitive to light, which trigger nerve impulses that pass via the optic nerve to the brain, where a visual image is formed. [SEP] put (something) in a prominent place in order that it may readily be seen
components	a part or element of a larger whole, especially a part of a machine or vehicle
sound quality	vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear sound produced by continuous and regular vibrations, as opposed to noise. music, speech, and sound effects when recorded and used to accompany a film, video, or broadcast an idea or impression conveyed by words [SEP] the standard of something as measured against other things of a similar kind; the degree of excellence of something a distinctive attribute or characteristic possessed by someone or something
windows XP	look at goods displayed in shop windows without buying anything
SSD drive	a person's urge to seek satisfaction of their sexual needs
start up	(of a machine or device) begin operating or being used embark on a venture or undertaking, especially a commercial one
restore disks	bring back or re-establish (a previous right, practice, or situation) [SEP] a flat, thin circular object an object or part resembling a disc in shape or appearance
graphic design	the art or skill of combining text and pictures in advertisements, magazines, or books.
external mics	belonging to or forming the outer surface or structure of something coming or derived from a source outside the subject affected [SEP] a microphone.
os	a bone (used chiefly in Latin names of individual bones, e.g. os trapezium).
System	a set of things working together as parts of a mechanism or an interconnecting network; a complex whole a set of principles or procedures according to which something is done; an organized scheme or method the prevailing political or social order, especially when regarded as oppressive and intransigent a set of staves in a musical score joined by a brace.
customize setting	modify (something) to suit a particular individual or task
wireless keyboard / mouse	using radio, microwaves, etc. (as opposed to wires or cables) to transmit signals [SEP] a panel of keys that operate a computer or typewriter. a set of keys on a piano or similar musical instrument. [SEP] ditto. [SEP] a small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail. a small handheld device which is moved across a mat or flat surface to move the cursor on a computer screen a lump or bruise on or near the eye
gaming	the action or practice of playing video games the action or practice of playing gambling games
scanning	The action or process of performing an ultrasound A-scan.
price point	a point on a scale of possible prices at which something might be marketed
working	having paid employment functioning or able to function (of a theory, definition, or title) used as the basis for work or argument and likely to be developed or improved later
word processing	the production, storage, and manipulation of text on a computer or word processor
function	an activity that is natural to or the purpose of a person or thing a relation or expression involving one or more variables a thing dependent on another factor or factors a large or formal social event or ceremony
"Apple ""Help"""	the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh. the tree bearing apples, with hard pale timber that is used in carpentry and to smoke food. [SEP] make it easier or possible for (someone) to do something by offering one's services or resources serve someone with (food or drink) cannot or could not avoid
Harddrive	a disk drive used to read from and write to a hard disk.
on/off switch	(of a switch) having two positions, ‘on’ and ‘off’. (of a relationship) not continuous or steady [SEP] a device for making and breaking the connection in an electric circuit an act of changing to or adopting one thing in place of another a slender, flexible shoot cut from a tree. a set of points on a railway track. a tress of false or detached hair tied at one end, used in hairdressing to supplement natural hair.
instructions	detailed information about how something should be operated
content creation Audio	in a state of peaceful happiness [SEP] the action or process of bringing something into existence the creating of the universe, especially when regarded as an act of God the action of investing someone with a title of nobility [SEP] sound, especially when recorded, transmitted, or reproduced
Screen	a fixed or movable upright partition used to divide a room, give shelter from draughts, heat, or light, or to provide concealment or privacy a flat panel or area on an electronic device such as a television, computer, or smartphone, on which images and data are displayed a transparent finely ruled plate or film used in half-tone reproduction. a system of checking a person or thing for the presence or absence of something, typically a disease a detachment of troops or ships detailed to cover the movements of the main body a large sieve or riddle, especially one for sorting substances such as gr
flexibility for connectivity	the quality of bending easily without breaking [SEP] in support of or in favour of (a person or policy) affecting, with regard to, or in respect of on behalf of or to the benefit of having (the thing mentioned) as a purpose or function having (the thing mentioned) as a reason or cause having (the place mentioned) as a destination representing (the thing mentioned) in place of or in exchange for in relation to the expected norm of indicating the length of (a period of time) indicating the extent of (a distance) indicating an occasion in a series [SEP] the state of being connected or interconnec
Mac tutorials	A theorist.
technical support	a service provided by a hardware or software company which provides registered users with help and advice about their products.
adapter	a device for connecting pieces of equipment that cannot be connected directly a person who adapts a text to make it suitable for filming, broadcasting, or the stage.
iPhoto	a photograph.
Logic board	reasoning conducted or assessed according to strict principles of validity a system or set of principles underlying the arrangements of elements in a computer or electronic device so as to perform a specified task. [SEP] a long, thin, flat piece of wood or other hard material, used for floors or other building purposes a thin, flat piece of wood or other stiff material used for various purposes. a group of people constituted as the decision-making body of an organization the provision of regular meals when one stays somewhere, in return for payment or services a distance covered by a vessel in
OSX Lion	Orbiting solar observatory. [SEP] a large tawny-coloured cat that lives in prides, found in Africa and north-western India. The male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females. a member of a touring international rugby union team representing the British Isles. a member of a Lions Club.
application	a formal request to be considered for a position or to be allowed to do or have something, submitted to an authority, institution, or organization the action of putting something into operation the action of applying something to a surface sustained effort; hard work a program or piece of software designed to fulfil a particular purpose
physical form	An influence acting within the physical world, a force of nature; a mechanical force. Physical strength used to coerce, constrain, or discipline; specifically the use of armed power to effect or prevent political changes.
body	the physical structure, including the bones, flesh, and organs, of a person or an animal the main section of a motor vehicle or aircraft the main or central part of something, especially a building or text a large amount or collection of something a material object a full or substantial quality of flavour in wine a woman's close-fitting stretch garment for the upper body, fastening at the crotch. (in pottery) a clay used for making the main part of ceramic ware, as distinct from a glaze.
3D rendering	three-dimensional [SEP] a performance of a piece of music or drama the action of applying plaster to a wall the action of giving or surrendering something
OS X Mountain Lion	a bone (used chiefly in Latin names of individual bones, e.g. os trapezium). [SEP] the twenty-fourth letter of the alphabet. a shape like that of a letter X a cross-shaped written symbol. the Roman numeral for ten. [SEP] a large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill a large pile or quantity of something [SEP] a large tawny-coloured cat that lives in prides, found in Africa and north-western India. The male has a flowing shaggy mane and takes little part in hunting, which is done cooperatively by the females. a member of a tourin
boot	a sturdy item of footwear covering the foot and ankle, and sometimes also the lower leg. a hard kick an enclosed space at the back of a car for carrying luggage or other goods. the process of starting a computer and putting it into a state of readiness for operation
ports	a group of medieval ports in Kent and East Sussex in south-eastern England, which were formerly allowed trading privileges in exchange for providing the bulk of England's navy. The five original Cinque Ports were Hastings, Sandwich, Dover, Romney, and Hythe; later Rye and Winchelsea were added.
Quad-Core 2.5 GHz CPU	quagmire. [SEP] used to denote a superior or more advanced version of an original concept, product, service, etc. [SEP] gigahertz. [SEP] central processing unit.
cover	put something on top of or in front of (something), especially in order to protect or conceal it extend over (an area) deal with (a subject) by describing or analysing its most important aspects or events (of a sum of money) be enough to pay (a cost) disguise the sound or fact of (something) with another sound or action aim a gun at (someone) in order to prevent them from moving or escaping record or perform a new version of (a song) originally performed by someone else (of a male animal, especially a stallion) copulate with (a female animal) play a higher card on (a high card) in a trick
gestures	a movement of part of the body, especially a hand or the head, to express an idea or meaning
extender cable	a person or thing that extends something. [SEP] a thick rope of wire or hemp used for construction, mooring ships, and towing vehicles an insulated wire or wires having a protective casing and used for transmitting electricity or telecommunication signals
2.9ghz dual-core i7 chip	= dulcitol. [SEP] a small piece of something removed in the course of chopping, cutting, or breaking a hard material such as wood or stone a long rectangular piece of deep-fried potato. a tiny wafer of semiconducting material used to make an integrated circuit; a microchip. a counter used in certain gambling games to represent money (in soccer, golf, and other sports) a short lofted kick or shot
starts up	The action of to start up; in later use frequently attributive.
internal CD drive	of or situated on the inside (of a student) attending a university as well as taking its examinations. [SEP] a compact disc. [SEP] operate and control the direction and speed of a motor vehicle propel or carry along by force in a specified direction urge or force (animals or people) to move in a specified direction (of a source of power) provide the energy to set and keep (an engine or piece of machinery) in motion (of a fact or feeling) compel (someone) to act in a particular way, especially one that is considered undesirable or inappropriate (in ball games) hit or kick (the ball) hard with a
audio volume	sound, especially when recorded, transmitted, or reproduced [SEP] a book forming part of a work or series the amount of space that a substance or object occupies, or that is enclosed within a container quantity or power of sound; degree of loudness
capabilities	the power or ability to do something
Boot-up	a sturdy item of footwear covering the foot and ankle, and sometimes also the lower leg. a hard kick an enclosed space at the back of a car for carrying luggage or other goods. the process of starting a computer and putting it into a state of readiness for operation
logic board	reasoning conducted or assessed according to strict principles of validity a system or set of principles underlying the arrangements of elements in a computer or electronic device so as to perform a specified task. [SEP] a long, thin, flat piece of wood or other hard material, used for floors or other building purposes a thin, flat piece of wood or other stiff material used for various purposes. a group of people constituted as the decision-making body of an organization the provision of regular meals when one stays somewhere, in return for payment or services a distance covered by a vessel in
internet	a global computer network providing a variety of information and communication facilities, consisting of interconnected networks using standardized communication protocols
RAM memory	without reading or referring to notes
profile	an outline of something, especially a person's face, as seen from one side a short article giving a description of a person or organization the extent to which a person or organization attracts public notice a graphical or other representation of information relating to particular characteristics of something, recorded in quantified form
WiFi capability	a facility allowing computers, smartphones, or other devices to connect to the internet or communicate with one another wirelessly within a particular area. [SEP] the power or ability to do something
SD card reader	South Dakota (in official postal use). eSwatini (Swaziland) (international vehicle registration). [SEP] a person who reads or who is fond of reading a person who inspects and records the figure indicated on a measuring instrument a book containing extracts of a text or texts, designed to give learners of a language practice in reading. a university lecturer of the highest grade below professor a device that produces on a screen a magnified, readable image of a microfiche or microfilm.
touch	come into or be in contact with handle in order to interfere with, alter, or otherwise affect affect or concern produce feelings of affection, gratitude, or sympathy in reach (a specified level or amount)
aluminium	the chemical element of atomic number 13, a light silvery-grey metal.
16GB of RAM	expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase and the second is something associated with it expressing the relationship between a direction and a point of reference expressing the relationship between a general category or type and the thing being specified which belongs to such a category following a noun derived from or related to a verb. where the head of the phrase is a predicative adjective in
number pad on the keyboard	an arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity and used in counting and making calculations a quantity or amount a single issue of a magazine a grammatical classification of words that consists typically of singular and plural, and, in Greek and certain other languages, dual [SEP] a thick piece of soft material, typically used to protect or shape something, or to absorb liquid the fleshy underpart of an animal's foot or of a human finger a number of sheets of blank paper fastened together at one edge, used for writing or drawing a flat-topped 
